title|description|rating|release_date|length_minutes|poster|amazon_link|where_to_watch|genres|keywords|imdb_id|cast_and_crew
Creep 2|A video artist looking for work drives to a remote house in the forest to meet a man claiming to be a serial killer. But after agreeing to spend the day with him, she soon realizes that she made a deadly mistake.|Not Rated|2017-10-24|78|https://m.media-amazon.com/images/M/MV5BMjA2MTkxMDYzN15BMl5BanBnXkFtZTgwNTc3Mzc4MzI@._V1_.jpg|||['Crime', 'Drama', 'Horror']|['sequel', 'mask', 'hidden camera', 'hot tub', 'shower']|tt3654796|[{'first_name': 'Patrick', 'last_name': 'Brice', 'role': 'director'}, {'first_name': 'Karan', 'last_name': 'Soni', 'role': 'cast'}, {'first_name': 'Mark', 'last_name': 'Duplass', 'role': 'cast'}, {'first_name': 'Desiree', 'last_name': 'Akhavan', 'role': 'cast'}, {'first_name': 'Kyle', 'last_name': 'Field', 'role': 'cast'}, {'first_name': 'Caveh', 'last_name': 'Zahedi', 'role': 'cast'}, {'first_name': 'Jeff', 'last_name': 'Man', 'role': 'cast'}, {'first_name': 'Patrick', 'last_name': 'Brice', 'role': 'cast'}]
Crimson Peak|In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathe...|R|2015-10-16|119|https://m.media-amazon.com/images/M/MV5BZmNkYzk3YjItOTMwYy00ZWViLWIxMTUtZDJiZmY0ZWExYjVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg|||['Drama', 'Horror', 'Mystery']|['incest', 'ghost', 'gothic', 'loss of mother', 'brother sister incest']|tt2554274|[{'first_name': 'Guillermo del', 'last_name': 'Toro', 'role': 'director'}, {'first_name': 'Mia', 'last_name': 'Wasikowska', 'role': 'cast'}, {'first_name': 'Jessica', 'last_name': 'Chastain', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Hiddleston', 'role': 'cast'}, {'first_name': 'Charlie', 'last_name': 'Hunnam', 'role': 'cast'}, {'first_name': 'Jim', 'last_name': 'Beaver', 'role': 'cast'}, {'first_name': 'Burn', 'last_name': 'Gorman', 'role': 'cast'}, {'first_name': 'Leslie', 'last_name': 'Hope', 'role': 'cast'}, {'first_name': 'Doug', 'last_name': 'Jones', 'role': 'cast'}, {'first_name': 'Jonathan', 'last_name': 'Hyde', 'role': 'cast'}, {'first_name': 'Bruce', 'last_name': 'Gray', 'role': 'cast'}, {'first_name': 'Emily', 'last_name': 'Coutts', 'role': 'cast'}, {'first_name': 'Alec', 'last_name': 'Stockwell', 'role': 'cast'}, {'first_name': 'Brigitte', 'last_name': 'Robinson', 'role': 'cast'}, {'first_name': 'Gillian', 'last_name': 'Ferrier', 'role': 'cast'}, {'first_name': 'Tamara', 'last_name': 'Hope', 'role': 'cast'}]
Dawn of the Dead|A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.|R|2004-03-19|101|https://m.media-amazon.com/images/M/MV5BN2M2ZmU2OGQtNmU5Yi00MTIyLTgwNWMtYjljMzZlYTdiNjBhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg|||['Action', 'Horror']|['nurse', 'zombie', 'flesh eating zombie', 'zombie attack', 'zombie apocalypse']|tt0363547|[{'first_name': 'Zack', 'last_name': 'Snyder', 'role': 'director'}, {'first_name': 'Sarah', 'last_name': 'Polley', 'role': 'cast'}, {'first_name': 'Ving', 'last_name': 'Rhames', 'role': 'cast'}, {'first_name': 'Jake', 'last_name': 'Weber', 'role': 'cast'}, {'first_name': 'Mekhi', 'last_name': 'Phifer', 'role': 'cast'}, {'first_name': 'Ty', 'last_name': 'Burrell', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Kelly', 'role': 'cast'}, {'first_name': 'Kevin', 'last_name': 'Zegers', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Barry', 'role': 'cast'}, {'first_name': 'Lindy', 'last_name': 'Booth', 'role': 'cast'}, {'first_name': 'Jayne', 'last_name': 'Eastwood', 'role': 'cast'}, {'first_name': 'Boyd', 'last_name': 'Banks', 'role': 'cast'}, {'first_name': 'Inna', 'last_name': 'Korobkina', 'role': 'cast'}, {'first_name': 'R.D.', 'last_name': 'Reid', 'role': 'cast'}, {'first_name': 'Kim', 'last_name': 'Poirier', 'role': 'cast'}, {'first_name': 'Matt', 'last_name': 'Frewer', 'role': 'cast'}]
Deadstream|A disgraced internet personality attempts to win back his followers by livestreaming one night alone in a haunted house. But when he accidentally pisses off a vengeful spirit, his big comeback event becomes a real-time fight for h...|Not Rated|2022-10-06|87|https://m.media-amazon.com/images/M/MV5BZmIzZjRiZTYtZjkwZC00ODc0LTg1MjEtZmJiZjgyODk3NjVlXkEyXkFqcGdeQXVyODgwNjY1NjY@._V1_.jpg|||['Comedy', 'Horror']|['internet personality', 'spend the night at a haunted place', 'ouija board', 'co written by actor', 'co written and directed by lead actor']|tt12788488|[{'first_name': 'Joseph Winter, Vanessa', 'last_name': 'Winter', 'role': 'director'}, {'first_name': 'Joseph', 'last_name': 'Winter', 'role': 'cast'}, {'first_name': 'Melanie', 'last_name': 'Stone', 'role': 'cast'}, {'first_name': 'Jason K.', 'last_name': 'Wixom', 'role': 'cast'}, {'first_name': 'Pat', 'last_name': 'Barnett', 'role': 'cast'}, {'first_name': 'Marty', 'last_name': 'Collins', 'role': 'cast'}, {'first_name': 'Perla', 'last_name': 'Lacayo', 'role': 'cast'}, {'first_name': 'Cylia', 'last_name': 'Austin-Lacayo', 'role': 'cast'}, {'first_name': 'Hayden', 'last_name': 'Gariety', 'role': 'cast'}, {'first_name': 'Ariel', 'last_name': 'Lee', 'role': 'cast'}, {'first_name': 'Jaxon', 'last_name': 'Harker', 'role': 'cast'}, {'first_name': 'Jeremy', 'last_name': 'Warner', 'role': 'cast'}, {'first_name': 'Brenden', 'last_name': 'Bytheway', 'role': 'cast'}, {'first_name': 'Doug', 'last_name': 'May', 'role': 'cast'}, {'first_name': 'Ruby', 'last_name': 'York', 'role': 'cast'}, {'first_name': 'Gabriel', 'last_name': 'Casdorph', 'role': 'cast'}]
The Descent|A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.|R|2006-08-04|99|https://m.media-amazon.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_.jpg|||['Adventure', 'Horror', 'Thriller']|['cave', 'survival horror', 'fear', 'group of friends', 'monster']|tt0435625|[{'first_name': 'Neil', 'last_name': 'Marshall', 'role': 'director'}, {'first_name': 'Shauna', 'last_name': 'Macdonald', 'role': 'cast'}, {'first_name': 'Natalie', 'last_name': 'Mendoza', 'role': 'cast'}, {'first_name': 'Alex', 'last_name': 'Reid', 'role': 'cast'}, {'first_name': 'Saskia', 'last_name': 'Mulder', 'role': 'cast'}, {'first_name': 'MyAnna', 'last_name': 'Buring', 'role': 'cast'}, {'first_name': 'Nora-Jane', 'last_name': 'Noone', 'role': 'cast'}, {'first_name': 'Oliver', 'last_name': 'Milburn', 'role': 'cast'}, {'first_name': 'Molly', 'last_name': 'Kayll', 'role': 'cast'}, {'first_name': 'Craig', 'last_name': 'Conway', 'role': 'cast'}, {'first_name': 'Leslie', 'last_name': 'Simpson', 'role': 'cast'}, {'first_name': 'Mark', 'last_name': 'Cronfield', 'role': 'cast'}, {'first_name': 'Stephen', 'last_name': 'Lamb', 'role': 'cast'}, {'first_name': 'Catherine', 'last_name': 'Dyson', 'role': 'cast'}, {'first_name': 'Julie', 'last_name': 'Ellis', 'role': 'cast'}, {'first_name': 'Sophie', 'last_name': 'Trott', 'role': 'cast'}]
Sympathy for the Devil|After being forced to drive a mysterious passenger at gunpoint, a man finds himself in a high-stakes game of cat and mouse where it becomes clear that not everything is as it seems.||2023-07-28|90|https://m.media-amazon.com/images/M/MV5BMWI0YTRiYzEtOTQwNi00MDQwLWI0YTAtNzE5NTc0Y2MxMzVlXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_.jpg|||['Action', 'Thriller']|['psychological horror']|tt21991654|[{'first_name': 'Yuval', 'last_name': 'Adler', 'role': 'director'}, {'first_name': 'Nicolas', 'last_name': 'Cage', 'role': 'cast'}, {'first_name': 'Joel', 'last_name': 'Kinnaman', 'role': 'cast'}, {'first_name': 'Alexis', 'last_name': 'Zollicoffer', 'role': 'cast'}, {'first_name': 'Cameron Lee', 'last_name': 'Price', 'role': 'cast'}, {'first_name': 'Oliver', 'last_name': 'McCallum', 'role': 'cast'}, {'first_name': 'Burns', 'last_name': 'Burns', 'role': 'cast'}, {'first_name': 'Rich', 'last_name': 'Hopkins', 'role': 'cast'}, {'first_name': 'Nancy', 'last_name': 'Good', 'role': 'cast'}, {'first_name': 'Kaiwi', 'last_name': 'Lyman', 'role': 'cast'}]
Donnie Darko|After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.|R|2001-01-19|113|https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg|||['Drama', 'Mystery', 'Sci-Fi']|['cult film', 'surrealism', 'mental illness', 'cult classic', 'parallel universe']|tt0246578|[{'first_name': 'Richard', 'last_name': 'Kelly', 'role': 'director'}, {'first_name': 'Jake', 'last_name': 'Gyllenhaal', 'role': 'cast'}, {'first_name': 'Holmes', 'last_name': 'Osborne', 'role': 'cast'}, {'first_name': 'Maggie', 'last_name': 'Gyllenhaal', 'role': 'cast'}, {'first_name': 'Daveigh', 'last_name': 'Chase', 'role': 'cast'}, {'first_name': 'Mary', 'last_name': 'McDonnell', 'role': 'cast'}, {'first_name': 'James', 'last_name': 'Duval', 'role': 'cast'}, {'first_name': 'Arthur', 'last_name': 'Taxier', 'role': 'cast'}, {'first_name': 'Patrick', 'last_name': 'Swayze', 'role': 'cast'}, {'first_name': 'Mark', 'last_name': 'Hoffman', 'role': 'cast'}, {'first_name': 'David St.', 'last_name': 'James', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Tangen', 'role': 'cast'}, {'first_name': 'Jazzie', 'last_name': 'Mahannah', 'role': 'cast'}, {'first_name': 'Jolene', 'last_name': 'Purdy', 'role': 'cast'}, {'first_name': 'Stuart', 'last_name': 'Stone', 'role': 'cast'}, {'first_name': 'Gary', 'last_name': 'Lundy', 'role': 'cast'}]
Don't Look Under the Bed|A teen enlists the help of an imaginary friend named Larry Houdini to deal with a prank-playing bogeyman, who's framing her for his dastardly deeds.|TV-PG|1999-10-09|100|https://m.media-amazon.com/images/M/MV5BMDVlMDMxN2QtNDQxZi00MzY3LWJlMTctNDJkNjgwMzhlNTc1XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_.jpg|||['Family', 'Fantasy', 'Horror']|['horror for children', 'leukemia', 'reference to the boogeyman', 'disney channel movie', 'passionate kiss']|tt0208101|[{'first_name': 'Kenneth', 'last_name': 'Johnson', 'role': 'director'}, {'first_name': 'Erin', 'last_name': 'Chambers', 'role': 'cast'}, {'first_name': 'Ty', 'last_name': 'Hodges', 'role': 'cast'}, {'first_name': 'Robin', 'last_name': 'Riker', 'role': 'cast'}, {'first_name': 'Steve', 'last_name': 'Valentine', 'role': 'cast'}, {'first_name': 'Mary Parker', 'last_name': 'Williams', 'role': 'cast'}, {'first_name': 'Geoff', 'last_name': 'Hansen', 'role': 'cast'}, {'first_name': 'Barry', 'last_name': 'Yourgrau', 'role': 'cast'}, {'first_name': 'Stephen', 'last_name': 'Tobolowsky', 'role': 'cast'}, {'first_name': 'Nathan', 'last_name': 'Stevens', 'role': 'cast'}, {'first_name': 'RuDee', 'last_name': 'Sade', 'role': 'cast'}, {'first_name': 'Rachel', 'last_name': 'Kimsey', 'role': 'cast'}, {'first_name': 'Ruth', 'last_name': 'Hale', 'role': 'cast'}, {'first_name': 'Cody', 'last_name': 'Cowdell', 'role': 'cast'}, {'first_name': 'Samantha', 'last_name': 'Epstein', 'role': 'cast'}, {'first_name': 'Frank', 'last_name': 'Gerrish', 'role': 'cast'}]
Doctor Sleep|Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.|R|2019-11-08|152|https://m.media-amazon.com/images/M/MV5BYmY3NGJlYTItYmQ4OS00ZTEwLWIzODItMjMzNWU2MDE0NjZhXkEyXkFqcGdeQXVyMzQzMDA3MTI@._V1_.jpg|||['Drama', 'Fantasy', 'Horror']|['based on the works of stephen king', 'hat', 'vampire', 'the shining', 'based on novel']|tt5606664|[{'first_name': 'Mike', 'last_name': 'Flanagan', 'role': 'director'}, {'first_name': 'Ewan', 'last_name': 'McGregor', 'role': 'cast'}, {'first_name': 'Rebecca', 'last_name': 'Ferguson', 'role': 'cast'}, {'first_name': 'Kyliegh', 'last_name': 'Curran', 'role': 'cast'}, {'first_name': 'Cliff', 'last_name': 'Curtis', 'role': 'cast'}, {'first_name': 'Zahn', 'last_name': 'McClarnon', 'role': 'cast'}, {'first_name': 'Emily Alyn', 'last_name': 'Lind', 'role': 'cast'}, {'first_name': 'Selena', 'last_name': 'Anduze', 'role': 'cast'}, {'first_name': 'Robert', 'last_name': 'Longstreet', 'role': 'cast'}, {'first_name': 'Carel', 'last_name': 'Struycken', 'role': 'cast'}, {'first_name': 'Katie', 'last_name': 'Parker', 'role': 'cast'}, {'first_name': 'Jamie', 'last_name': 'Flanagan', 'role': 'cast'}, {'first_name': 'Met', 'last_name': 'Clark', 'role': 'cast'}, {'first_name': 'Zackary', 'last_name': 'Momoh', 'role': 'cast'}, {'first_name': 'Jocelin', 'last_name': 'Donahue', 'role': 'cast'}, {'first_name': 'Dakota', 'last_name': 'Hickman', 'role': 'cast'}]
Drag Me to Hell|A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.|PG-13|2009-05-29|99|https://m.media-amazon.com/images/M/MV5BMTQwNTMyNjc5Ml5BMl5BanBnXkFtZTcwOTI2MTQ0Mg@@._V1_.jpg|||['Horror']|['evil', 'demon', 'metaphor', 'psychic', 'fight']|tt1127180|[{'first_name': 'Sam', 'last_name': 'Raimi', 'role': 'director'}, {'first_name': 'Alison', 'last_name': 'Lohman', 'role': 'cast'}, {'first_name': 'Justin', 'last_name': 'Long', 'role': 'cast'}, {'first_name': 'Lorna', 'last_name': 'Raver', 'role': 'cast'}, {'first_name': 'Dileep', 'last_name': 'Rao', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Paymer', 'role': 'cast'}, {'first_name': 'Adriana', 'last_name': 'Barraza', 'role': 'cast'}, {'first_name': 'Chelcie', 'last_name': 'Ross', 'role': 'cast'}, {'first_name': 'Reggie', 'last_name': 'Lee', 'role': 'cast'}, {'first_name': 'Molly', 'last_name': 'Cheek', 'role': 'cast'}, {'first_name': 'Bojana', 'last_name': 'Novakovic', 'role': 'cast'}, {'first_name': 'Kevin', 'last_name': 'Foster', 'role': 'cast'}, {'first_name': 'Alexis', 'last_name': 'Cruz', 'role': 'cast'}, {'first_name': 'Ruth', 'last_name': 'Livier', 'role': 'cast'}, {'first_name': 'Shiloh', 'last_name': 'Selassie', 'role': 'cast'}, {'first_name': 'Flor de Maria', 'last_name': 'Chahua', 'role': 'cast'}]
The Exorcist: Believer|Sequel to the 1973 film about a 12-year-old girl who is possessed by a mysterious demonic entity, forcing her mother to seek the help of two priests to save her.|R|2023-10-13|121|https://m.media-amazon.com/images/M/MV5BMzVjZWUzNDUtZTQxMi00N2QzLWJjMzQtZTc4ZTU2YWEzNDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg|||['Horror']|['possession', 'requel', 'mother daughter relationship', 'actress reprises previous role', 'sequel to cult horror']|tt12921446|[{'first_name': 'David Gordon', 'last_name': 'Green', 'role': 'director'}, {'first_name': 'Jennifer', 'last_name': 'Nettles', 'role': 'cast'}, {'first_name': 'Ellen', 'last_name': 'Burstyn', 'role': 'cast'}, {'first_name': 'Ann', 'last_name': 'Dowd', 'role': 'cast'}, {'first_name': 'Leslie Odom', 'last_name': 'Jr.', 'role': 'cast'}, {'first_name': 'Raphael', 'last_name': 'Sbarge', 'role': 'cast'}, {'first_name': 'Lidya', 'last_name': 'Jewett', 'role': 'cast'}, {'first_name': 'Olivia', 'last_name': 'Marcum', 'role': 'cast'}, {'first_name': 'E.J.', 'last_name': 'Bonilla', 'role': 'cast'}, {'first_name': 'Antoni', 'last_name': 'Corone', 'role': 'cast'}, {'first_name': 'Norah', 'last_name': 'Murphy', 'role': 'cast'}, {'first_name': 'Emily Rachel', 'last_name': 'Gordon', 'role': 'cast'}, {'first_name': 'Okwui', 'last_name': 'Okpokwasili', 'role': 'cast'}, {'first_name': 'Chandu', 'last_name': 'Kanuri', 'role': 'cast'}, {'first_name': 'Richard Carr', 'last_name': 'III', 'role': 'cast'}, {'first_name': 'Amanda', 'last_name': 'Beth', 'role': 'cast'}]
The Evil Dead|Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.|NC-17|1983-04-15|85|https://m.media-amazon.com/images/M/MV5BODc2MmVjZmUtNjAzMS00MDNiLWIyM2YtOGEzMjg0YjRhMzRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg|||['Horror']|['evil dead', 'cult film', 'supernatural rape', 'tape recording', 'necronomicon']|tt0083907|[{'first_name': 'Sam', 'last_name': 'Raimi', 'role': 'director'}, {'first_name': 'Bruce', 'last_name': 'Campbell', 'role': 'cast'}, {'first_name': 'Ellen', 'last_name': 'Sandweiss', 'role': 'cast'}, {'first_name': 'Richard', 'last_name': 'DeManincor', 'role': 'cast'}, {'first_name': 'Betsy', 'last_name': 'Baker', 'role': 'cast'}, {'first_name': 'Theresa', 'last_name': 'Tilly', 'role': 'cast'}, {'first_name': 'Philip A.', 'last_name': 'Gillis', 'role': 'cast'}, {'first_name': 'Dorothy', 'last_name': 'Tapert', 'role': 'cast'}, {'first_name': 'Cheryl', 'last_name': 'Guttridge', 'role': 'cast'}, {'first_name': 'Barbara', 'last_name': 'Carey', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Horton', 'role': 'cast'}, {'first_name': 'Wendall', 'last_name': 'Thomas', 'role': 'cast'}, {'first_name': 'Don', 'last_name': 'Long', 'role': 'cast'}, {'first_name': 'Stu', 'last_name': 'Smith', 'role': 'cast'}, {'first_name': 'Kurt', 'last_name': 'Rauf', 'role': 'cast'}, {'first_name': 'Ted', 'last_name': 'Raimi', 'role': 'cast'}]
Evil Dead II|The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.|R|1987-03-13|84|https://m.media-amazon.com/images/M/MV5BMWY3ODZlOGMtNzJmOS00ZTNjLWI3ZWEtZTJhZTk5NDZjYWRjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg|||['Comedy', 'Horror']|['grindhouse film', 'evil dead', 'panties', '1980s', 'cult film']|tt0092991|[{'first_name': 'Sam', 'last_name': 'Raimi', 'role': 'director'}, {'first_name': 'Bruce', 'last_name': 'Campbell', 'role': 'cast'}, {'first_name': 'Sarah', 'last_name': 'Berry', 'role': 'cast'}, {'first_name': 'Dan', 'last_name': 'Hicks', 'role': 'cast'}, {'first_name': 'Kassie Wesley', 'last_name': 'DePaiva', 'role': 'cast'}, {'first_name': 'Ted', 'last_name': 'Raimi', 'role': 'cast'}, {'first_name': 'Denise', 'last_name': 'Bixler', 'role': 'cast'}, {'first_name': 'Richard', 'last_name': 'Domeier', 'role': 'cast'}, {'first_name': 'John', 'last_name': 'Peakes', 'role': 'cast'}, {'first_name': 'Lou', 'last_name': 'Hancock', 'role': 'cast'}, {'first_name': 'Snowy', 'last_name': 'Winters', 'role': 'cast'}, {'first_name': 'Sol', 'last_name': 'Abrams', 'role': 'cast'}, {'first_name': 'Josh', 'last_name': 'Becker', 'role': 'cast'}, {'first_name': 'Scott', 'last_name': 'Spiegel', 'role': 'cast'}, {'first_name': 'Thomas', 'last_name': 'Kidd', 'role': 'cast'}, {'first_name': 'Mitch', 'last_name': 'Cantor', 'role': 'cast'}]
Evil Dead|Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.|R|2013-04-05|91|https://m.media-amazon.com/images/M/MV5BYzk2ZTVhOWMtMWQxYS00OWQzLWFmY2QtODQ4NGFmNGQxZWVmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg|||['Horror']|['demon', 'forest', 'zombie', 'fear', 'nurse']|tt1288558|[{'first_name': 'Fede', 'last_name': 'Alvarez', 'role': 'director'}, {'first_name': 'Jane', 'last_name': 'Levy', 'role': 'cast'}, {'first_name': 'Shiloh', 'last_name': 'Fernandez', 'role': 'cast'}, {'first_name': 'Lou Taylor', 'last_name': 'Pucci', 'role': 'cast'}, {'first_name': 'Jessica', 'last_name': 'Lucas', 'role': 'cast'}, {'first_name': 'Elizabeth', 'last_name': 'Blackmore', 'role': 'cast'}, {'first_name': 'Phoenix', 'last_name': 'Connolly', 'role': 'cast'}, {'first_name': 'Jim', 'last_name': 'McLarty', 'role': 'cast'}, {'first_name': 'Sian', 'last_name': 'Davis', 'role': 'cast'}, {'first_name': 'Stephen', 'last_name': 'Butterworth', 'role': 'cast'}, {'first_name': 'Karl', 'last_name': 'Willetts', 'role': 'cast'}, {'first_name': 'Randal', 'last_name': 'Wilson', 'role': 'cast'}, {'first_name': 'Rupert', 'last_name': 'Degas', 'role': 'cast'}, {'first_name': 'Bob', 'last_name': 'Dorian', 'role': 'cast'}, {'first_name': 'Ellen', 'last_name': 'Sandweiss', 'role': 'cast'}, {'first_name': '', 'last_name': 'Inca', 'role': 'cast'}]
Evil Dead Rise|A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.|R|2023-04-21|96|https://m.media-amazon.com/images/M/MV5BMmZiN2VmMjktZDE5OC00ZWRmLWFlMmEtYWViMTY4NjM3ZmNkXkEyXkFqcGdeQXVyMTI2MTc2ODM3._V1_.jpg|||['Horror']|['book of the dead', 'sister sister relationship', 'chainsaw', 'family relationships', 'sibling relationship']|tt13345606|[{'first_name': 'Lee', 'last_name': 'Cronin', 'role': 'director'}, {'first_name': 'Mirabai', 'last_name': 'Pease', 'role': 'cast'}, {'first_name': 'Richard', 'last_name': 'Crouchley', 'role': 'cast'}, {'first_name': 'Anna-Maree', 'last_name': 'Thomas', 'role': 'cast'}, {'first_name': 'Lily', 'last_name': 'Sullivan', 'role': 'cast'}, {'first_name': 'Noah', 'last_name': 'Paul', 'role': 'cast'}, {'first_name': 'Alyssa', 'last_name': 'Sutherland', 'role': 'cast'}, {'first_name': 'Gabrielle', 'last_name': 'Echols', 'role': 'cast'}, {'first_name': 'Morgan', 'last_name': 'Davies', 'role': 'cast'}, {'first_name': 'Nell', 'last_name': 'Fisher', 'role': 'cast'}, {'first_name': 'Billy', 'last_name': 'Reynolds-McCarthy', 'role': 'cast'}, {'first_name': 'Tai', 'last_name': 'Wano', 'role': 'cast'}, {'first_name': 'Jayden', 'last_name': 'Daniels', 'role': 'cast'}, {'first_name': 'Mark', 'last_name': 'Mitchinson', 'role': 'cast'}, {'first_name': 'Melissa', 'last_name': 'Xiao', 'role': 'cast'}]
It's the Great Pumpkin, Charlie Brown|The Peanuts gang celebrates Halloween while Linus waits for the Great Pumpkin.|TV-G|1966-10-27|25|https://m.media-amazon.com/images/M/MV5BMzI0N2JmYWYtMWJmOC00NWQxLWEwOTYtOGIxM2U5YmJmYjNlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg|||['Animation', 'Comedy', 'Family']|['halloween', 'pumpkin patch', 'trick or treaters', 'behind enemy lines', 'crash landing']|tt0060550|[{'first_name': 'Bill', 'last_name': 'Melendez', 'role': 'director'}, {'first_name': 'Peter', 'last_name': 'Robbins', 'role': 'cast'}, {'first_name': 'Christopher', 'last_name': 'Shea', 'role': 'cast'}, {'first_name': 'Sally', 'last_name': 'Dryer', 'role': 'cast'}, {'first_name': 'Cathy', 'last_name': 'Steinberg', 'role': 'cast'}, {'first_name': 'Ann', 'last_name': 'Altieri', 'role': 'cast'}, {'first_name': 'Lisa', 'last_name': 'DeFaria', 'role': 'cast'}, {'first_name': 'Bill', 'last_name': 'Melendez', 'role': 'cast'}, {'first_name': 'Glenn', 'last_name': 'Mendelson', 'role': 'cast'}, {'first_name': 'Gabrielle DeFaria', 'last_name': 'Ritter', 'role': 'cast'}]
Fear Street: 1994|A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.|R|2021-07-02|107|https://m.media-amazon.com/images/M/MV5BNzQzYjIyZDQtMjBhZS00MzU3LTk0MTQtNTVmMDI3ZWY0ZWU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg|||['Drama', 'Horror', 'Mystery']|['witch', 'year 1994', 'ex girlfriend ex girlfriend relationship', 'lesbian character', 'murder']|tt6566576|[{'first_name': 'Leigh', 'last_name': 'Janiak', 'role': 'director'}, {'first_name': 'Maya', 'last_name': 'Hawke', 'role': 'cast'}, {'first_name': 'Charlene', 'last_name': 'Amoia', 'role': 'cast'}, {'first_name': 'David W.', 'last_name': 'Thompson', 'role': 'cast'}, {'first_name': 'Noah Bain', 'last_name': 'Garret', 'role': 'cast'}, {'first_name': 'Darrell', 'last_name': 'Britt-Gibson', 'role': 'cast'}, {'first_name': 'Ashley', 'last_name': 'Zukerman', 'role': 'cast'}, {'first_name': 'Kiana', 'last_name': 'Madeira', 'role': 'cast'}, {'first_name': 'Jana', 'last_name': 'Allen', 'role': 'cast'}, {'first_name': 'Benjamin Flores', 'last_name': 'Jr.', 'role': 'cast'}, {'first_name': 'Julia', 'last_name': 'Rehwald', 'role': 'cast'}, {'first_name': 'Fred', 'last_name': 'Hechinger', 'role': 'cast'}, {'first_name': 'Matt', 'last_name': 'Burke', 'role': 'cast'}, {'first_name': 'Christian', 'last_name': 'Bridges', 'role': 'cast'}, {'first_name': 'Matthew', 'last_name': 'Zuk', 'role': 'cast'}, {'first_name': 'Olivia Scott', 'last_name': 'Welch', 'role': 'cast'}]
